stationid,lat,lon
595554,59.970527777777775,30.20563888888889
563212,59.92908333333333,30.30027777777778
2182000,59.912922,30.405136
1972918,59.938857,30.365865
1948880,59.938857,30.365865
1645645,59.903194444,30.390305556
2034888,59.913944444,30.271472222
993058,59.927627778,30.347155556
993057,59.893333333,30.317777778
993054,59.944722222,30.236111111
993053,59.908888889,30.248611111
993051,59.934622222,30.366766667
993050,59.933888889,30.355
993049,59.944980556,30.413138889
993048,59.939080556,30.370719444
993039,59.938497222,30.359138889
993038,59.918888889,30.325
993037,59.954836111,30.3245
993036,59.921611111,30.338472222
993035,59.944722222,30.286388889
993021,59.952569444,30.244555556
993020,59.945555556,30.348333333
993019,59.894166667,30.206944444
993015,59.930191667,30.243775
947883,59.90945,30.294219
947100,59.943111111,30.372722222
947054,59.970555556,30.298691667
947028,59.914775,30.292638889
947027,59.920777778,30.282194444
947016,59.963333333,30.333830556
947013,59.954388889,30.302194444
947011,59.938497222,30.320277778
947009,59.942194444,30.359833333
947008,59.931858333,30.262277778
940998,59.936805556,30.281944444
940996,59.923972222,30.383497222
940994,59.938444444,30.378527778
940991,59.929861111,30.411944444
940990,59.924080556,30.322858333
940984,59.936944444,30.321944444
940961,59.945744444,30.276072222
940950,59.948319444,30.345063889
940949,59.949444444,30.383611111
940946,59.958333333,30.326388889
940943,59.948611111,30.271666667
940909,59.930388889,30.406666667
940873,59.928861111,30.338666667
940866,59.920833333,30.344444444
940861,59.9435,30.373416667
940857,59.939583333,30.344444444
940854,59.913611111,30.395
940851,59.972819444,30.396333333
940825,59.913166667,30.32725
940820,59.960166667,30.274555556
940819,59.966972222,30.342361111
940814,59.928694444,30.379694444
940812,59.903247222,30.390916667
940797,59.929555556,30.373969444
940796,59.932472222,30.289694444
940794,59.946194444,30.347997222
940793,59.966944444,30.273194444
940760,59.925361111,30.319638889
940749,59.93025,30.364277778
940748,59.965222222,30.315527778
940747,59.901361111,30.275416667
940739,59.939222222,30.241055556
940720,59.962916667,30.400444444
940695,59.927136111,30.333583333
940693,59.930805556,30.344330556
940674,59.937552778,30.326222222
940670,59.967944444,30.405972222
940650,59.951083333,30.38125
940648,59.937222222,30.373888889
940647,59.935944444,30.326083333
940646,59.924305556,30.336527778
940645,59.930163889,30.3315
940621,59.941944444,30.297441667
940620,59.956111111,30.322694444
940619,59.925638889,30.308722222
940618,59.928416667,30.346513889
940485,59.946472222,30.412083333
940483,59.966083333,30.373552778
940482,59.934861111,30.308861111
940474,59.93675,30.251777778
940473,59.938138889,30.289694444
940472,59.910777778,30.301027778
940470,59.962897222,30.286730556
940469,59.952861111,30.29775
940468,59.893583333,30.329663889
940467,59.930833333,30.231111111
940465,59.913663889,30.375416667
940461,59.944972222,30.349386111
940460,59.933166667,30.270611111
940459,59.94125,30.281916667
940456,59.944722222,30.236111111
940424,59.968888889,30.283611111
940421,59.971111111,30.386305556
940361,59.922861111,30.285555556
940359,59.959166667,30.2845
940358,59.944444444,30.343944444
940350,59.920638889,30.329722222
940349,59.92675,30.319583333
940348,59.932166667,30.374386111
940336,59.95525,30.215775
940335,59.946194444,30.350416667
940331,59.961916667,30.324444444
939679,59.957765,30.290754
939674,59.931541,30.368106
939371,59.929886111,30.368861111
939370,59.92525,30.356638889
939369,59.964,30.300472222
939368,59.913138889,30.277941667
939367,59.961441667,30.305497222
939366,59.91425,30.328275
939365,59.921888889,30.320805556
939363,59.943694444,30.357138889
939334,59.919694444,30.352
939333,59.891111111,30.386944444
939328,59.92,30.3425
939327,59.930694444,30.354722222
939326,59.927222222,30.350694444
939325,59.923194444,30.335694444
